class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,1,Must Report,If the generator must be reported even if it is out-of-service,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,4,Formulate Non-convex,Controls when integers are used to enforce clearing of marginal efficiency tranches in order.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,6,Head Effects Method,Method used to account for the effects of storage head on efficiency,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,7,Min Down Time Mode,Controls how [Min Down Time] is applied after outages.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,8,Forced Outage Rate Denominator,Denominator for Forced Outage Rate calculations,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,9,Repair Time Distribution,"Distribution used to generate repair times (Auto,Constant,Uniform,Triangular,Exponential,Weibull,Lognormal,SEV,LEV)",2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,10,Fixed Load Method,Method of interpreting zero values of the [Fixed Load] property.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,13,Price Setting,Flag if the generator can set price,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,14,Offer Quantity Format,Format for [Offer Quantity] and [Offer Price],2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,15,Offers Must Clear in Order,Flag to control ordering of clearing of user-defined generator offers.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,16,Unit Commitment Optimality,Unit commitment integerization scheme for the generator.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,18,Unit Commitment Aggregation,Flag if the generator is aggregated into an equivalent single unit for the purpose of unit commitment,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,20,Include in Rounded Relaxation Merit Order,Flag if Generator is included in the Region merit order for Rounded Relaxation unit commitment.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,21,Start Profile Range,Maximum range for [Start Profile],2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,22,Expansion Optimality,Expansion planning integerization scheme.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,25,Production Decomposition Method,Method used to decompose generator production from MT to ST Schedule,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,26,Include in Uplift,If this generator's costs are included in the uplift calculations.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,27,Include in Capacity Payments,If this generator receives capacity payments.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,30,End Effects Method,Method used to value or constrain end-of-period heat volumes.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,34,Decomposition Method,Method used to pass the optimal storage trajectory from one simulation phase to the next.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,40,Enforce Bounds,If the storage bounds are enforced.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,41,Is Strategic,If the generator's capacity acts strategically,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,42,Transition Type,If the generator can transition between a single generator or to a group of generators.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,43,Simultaneous Pump and Generation,Pumped storage can pump and generate simultaneously,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,44,Model Capital Cost Recovery,Indicates if capital cost recovery feature is modeled for expansion planning,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,250,Formulate Risk,If constraint should be formulated to bound net profit risk,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,283,Project Start Date,"Start date of generation project, for expansion planning.",2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,284,Commission Date,Date the generator was commissioned for use with [Technical Life],2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,2,Random Number Seed,Random number seed assigned to the generator for the generation of outages,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,3,Max Heat Rate Tranches,Maximum number of tranches in the fuel function piecewise linear approximation.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,17,Unit Commitment Period,Period between unit commitment (on/off) decisions.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,19,Rounding Up Threshold,Threshold at which non-integers are rounded up.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,23,Integerization Horizon,Number of years over which the expansion decisions are integerized,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,29,Internal Volume Scalar,Storage volume scaling factor used internal to the mathematical program.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,33,Controllable Inflow,Proportion of Natural Inflow that is controllable,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,39,Decomposition Bound Penalty,Penalty applied to violation of storage bounds when the decomposition implies possible violations.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,46,Units,Number of installed units,2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,48,Min Stable Level,Minimum stable generation level,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,50,Min Stable Factor,Minimum stable generation level as a proportion of [Max Capacity],2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,52,Load Point,Load point for use with multi-point heat rate.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,65,Generation Credit Start Year,Year to start applying Generation Credits,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,66,Start Cost,Cost of starting a unit,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,67,Start Cost Time,Incremental cooling time over which the corresponding Start Cost applies,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,68,Run Up Rate,Ramp rate that applies while running the unit up from zero to [Min Stable Level].,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,72,Shutdown Cost,Cost of shutting down a unit,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,73,Run Down Rate,Ramp rate that applies while running the unit down from [Min Stable Level] to zero.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,76,Rolling Planning Bonus,Bonus for remaining online at the end of the look-ahead,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,78,Rating Factor,Maximum dispatchable capacity of each unit expressed as a percentage of [Max Capacity],2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,80,Min Up Time,Minimum number of hours a unit must be run after being started,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,81,Min Up Time Penalty,Penalty for violation of min up time,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,82,Min Down Time,Minimum number of hours a unit must be off after being shut down,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,83,Min Down Time Penalty,Penalty for violation of min down time,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,84,Max Up Time,Maximum number of hours a unit can be run after being started,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,85,Max Up Time Penalty,Penalty for violation of max up time,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,86,Max Down Time,Maximum number of hours a unit can be off after being shut down,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,88,Generating Units,Number of generating units,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,89,Must-Run Units,Number of must-run units,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,92,Min Load,Minimum level of station load (must run/run of river),2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,94,Max Load,Maximum level of unit load (unit may provide spinning reserve with remainder of spare capacity),2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,95,Max Load Penalty,Penalty for violation of [Max Load].,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,96,Commit,Number of units that should be committed,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,97,Fuel Mix Penalty,Penalty applied to violations of fuel mixing constraints,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,98,Ramp Up Point,Load point for use with multi-band Max Ramp Up constraints,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,99,Max Ramp Up,Maximum ramp up rate that applies at the given load point,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,102,Ramp Down Point,Load point for use with multi-band Max Ramp Down constraints,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,103,Max Ramp Down,Maximum ramp down rate that applies at the given load point,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,106,Rough Running Point,Start point of rough running range,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,107,Rough Running Range,Length of rough running range (must be paired with Rough Running Point),2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,108,Regulation Point,Start point of regulation reserve range,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,109,Regulation Range,Length of regulation reserve range (must be paired with Regulation Point),2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,110,Inertia Constant,Stored energy per unit of capacity,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,111,Aux Fixed,Fixed auxiliary usage per installed unit,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,112,Aux Base,Auxiliary use per unit committed,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,113,Aux Incr,Auxiliary use per unit of generation,2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,114,Marginal Loss Factor,Transmission marginal loss factor (MLF or TLF),2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,119,Pump Efficiency,Efficiency of pumping,2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,120,Pump Load,Load drawn by a unit in pumping mode,2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,121,Pump Load Factor,A multiplier (percentage) on the pump load,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,122,Pump Load Penalty,Penalty for violation of Pump Load.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,123,Pump Units,Number of pump units,2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,124,Min Pump Load,Minimum unit load while pumping,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,125,Must Pump Units,Number of pump units that must be running in pump mode,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,126,Max Units Pumping,Maximum number of units allowed to be running in pump mode.,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,130,Min Pump Time,Minimum number of hours a unit must be run in pump mode after being started,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,131,Min Pump Down Time,Minimum number of hours a unit must be off after being shut down from pump mode,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,132,Generation Transition Time,Minimum time between operating in generation mode and pump mode,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,133,Pump Transition Time,Minimum time between operating in pump mode and generation mode,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,135,Sync Cond Units,Maximum number of synchronous condenser units,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,136,Must-run Sync Cond Units,Number of must-run synchronous condenser units,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,137,Sync Cond Load,Load drawn by a unit in synchronous condenser mode,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,140,Initial Generation,Generation at time zero,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,141,Initial Units Generating,Number of units generating at time zero,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,142,Initial Hours Up,Hours the unit has been up for at time zero,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,143,Initial Hours Down,Hours the unit has been down for at time zero,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,144,Initial Pumping,Generator pump load at time zero,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,145,Initial Units Pumping,Number of units pumping at time zero,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,146,Initial Hours Pumping,Hours the unit has been pumping for at time zero,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,147,Last Start State,Number of hours the unit had been down before the last start,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,162,Max Heat Penalty,Adds a penalty to the max heat constraint to allow for relaxation,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,163,Opening Heat,Initial heat in the storage,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,170,Max Release,Maximum rate of release from each unit,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,171,Max Energy,Maximum energy,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,172,Max Energy Hour,Maximum energy in hour,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,173,Max Energy Day,Maximum energy in day,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,174,Max Energy Week,Maximum energy in week,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,175,Max Energy Month,Maximum energy in month,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,176,Max Energy Year,Maximum energy in year,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,177,Min Energy,Minimum energy,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,178,Min Energy Hour,Minimum energy in hour,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,179,Min Energy Day,Minimum energy in day,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,180,Min Energy Week,Minimum energy in week,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,181,Min Energy Month,Minimum energy in month,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,182,Min Energy Year,Minimum energy in year,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,183,Max Capacity Factor,Maximum capacity factor (energy constraint),2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,184,Max Capacity Factor Hour,Maximum capacity factor in hour,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,185,Max Capacity Factor Day,Maximum capacity factor in day,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,186,Max Capacity Factor Week,Maximum capacity factor in week,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,187,Max Capacity Factor Month,Maximum capacity factor in month,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,188,Max Capacity Factor Year,Maximum capacity factor in year,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,189,Min Capacity Factor,Minimum capacity factor,2024 ISP Green Energy Exports Model,True
2,Generator,1,Generator objects,190,Min Capacity Factor Hour,Minimum capacity factor in hour,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,191,Min Capacity Factor Day,Minimum capacity factor in day,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,192,Min Capacity Factor Week,Minimum capacity factor in week,2024 ISP Green Energy Exports Model,False
2,Generator,1,Generator objects,193,Min Capacity Factor Month,Minimum capacity factor in month,2024 ISP Green Energy Exports Model,False
