Generator,eff_base_only,eff_with_incr
DRYCGT3,1.3236591825847508,0.26300000009730434
DULAWF1,1.0,1.0
DUNDWF1,1.0,1.0
DUNDWF2,1.0,1.0
DUNDWF3,1.0,1.0
EDENVSF1,1.0,1.0
EILDON1,1.0,1.0
EILDON2,1.0,1.0
ELAINWF1,1.0,1.0
EMERASF1,1.0,1.0
ER01,5.651491365777081,0.37700000000146605
ER02,5.651491365777081,0.37700000000146605
ER03,5.651491365777081,0.37700000000146605
ER04,5.651491365777081,0.37700000000146605
FINLYSF1,1.0,1.0
FISHER,1.0,1.0
Flyers Creek Wind Farm,1.0,1.0
Frasers Solar Farm,1.0,1.0
Fulham Solar Farm,1.0,1.0
GANGARR1,1.0,1.0
GANNSF1,1.0,1.0
GG Biomass,2.71356783919598,0.2072542837349525
GG CCGT,3.7741497909914603,0.4966026027723539
GG CCGT with CCS,3.7741497909914603,0.4016441879311814
GG H2 Reciprocating Engine,1.0,0.3076108039750152
GG OCGT Large,1.3236592434912804,0.3293315522272893
GG OCGT Small,1.323659513352528,0.3532794708979026
Girgarre Solar Farm,1.0,1.0
Glenrowan Solar Farm,1.0,1.0
GLRWNSF1,1.0,1.0
GNNDHSF1,1.0,1.0
GO181-1,1.0,1.0
GO182-2,1.0,1.0
GO183-3,1.0,1.0
Golden Plains Wind Farm East,1.0,1.0
GOONSF1,1.0,1.0
GRANWF1,1.0,1.0
GSTONE1,5.65149136577708,0.379999999981
GSTONE2,5.65149136577708,0.379999999981
GSTONE3,5.65149136577708,0.379999999981
GSTONE4,5.65149136577708,0.379999999981
GSTONE5,5.65149136577708,0.379999999981
GSTONE6,5.65149136577708,0.379999999981
GSWF1A,1.0,1.0
GSWF1B,1.0,1.0
GULLRSF1,1.0,1.0
GULLRWF1,1.0,1.0
GULLRWF2,1.0,1.0
GUNNING1,1.0,1.0
GUTHEGA1,1.0,1.0
GUTHEGA2,1.0,1.0
HALLWF1,1.0,1.0
HALLWF2,1.0,1.0
HAMISF1,1.0,1.0
HAUGHT11,1.0,1.0
Hawkesdale Wind Farm,1.0,1.0
HAYMSF1,1.0,1.0
HDWF1,1.0,1.0
HDWF2,1.0,1.0
HDWF3,1.0,1.0
HILLSTN1,1.0,1.0
Horsham Solar Farm,1.0,1.0
HUGSF1,1.0,1.0
HUMENSW,1.0,1.0
HUMEV,1.0,1.0
HVWWPV1,1.0,1.0
Hydro Tas NS flexibility,1.0,1.0
JBUTTERS,1.0,1.0
JEMALNG1,1.0,1.0
JLA01,1.3236591819666792,0.23600000006456603
JLA02,1.3236591819666792,0.23600000006456603
JLA03,1.3236591819666792,0.23600000006456603
JLA04,1.3236591819666792,0.23600000006456603
JLB01,1.3236591824862312,0.2360000000810819
JLB02,1.3236591824862312,0.2360000000810819
JLB03,1.3236591824862312,0.2360000000810819
JUNEESF1,1.0,1.0
KABANWF1,1.0,1.0
KAREEYA1,1.0,1.0
KAREEYA2,1.0,1.0
KAREEYA3,1.0,1.0
KAREEYA4,1.0,1.0
KARSF1,1.0,1.0
KEPSF1,1.0,1.0
KEPWF1,1.0,1.0
Kiamal Solar Farm - Stage 2,1.0,1.0
KIAMSF1,1.0,1.0
KIATAWF1,1.0,1.0
Kidston Pumped Storage Hydro 1,1.0,1.0
