class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,1,Must Report,If the generator must be reported even if it is out-of-service,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,3,Dispatch Period,Frequency of generator dispatch decisions,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,5,Formulate Non-convex,Controls when integers are used to enforce clearing of marginal efficiency tranches in order.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,6,Min Down Time Mode,Controls how [Min Down Time] is applied after outages.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,7,Repair Time Distribution,"Distribution used to generate repair times (Auto,Constant,Uniform,Triangular,Exponential,Weibull,Lognormal,SEV,LEV)",mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,8,Fixed Load Method,Method of interpreting zero values of the [Fixed Load] property.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,9,Price Setting,Flag if the generator can set price,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,10,Offer Quantity Format,Format for [Offer Quantity] and [Offer Price],mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,11,Offers Must Clear in Order,Flag to control ordering of clearing of user-defined generator offers.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,12,Unit Commitment Optimality,Unit commitment integerization scheme for the generator.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,14,Start Profile Range,Maximum range for [Start Profile],mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,15,Expansion Optimality,Expansion planning integerization scheme.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,17,Energy Limit Decomposition Method,Method used to decompose generator energy limits from MT to ST Schedule,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,18,Include in Uplift,If this generator's costs are included in the uplift calculations.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,19,Include in Capacity Payments,If this generator receives capacity payments.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,20,Balance Period,Frequency of storage balance,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,22,End Effects Method,Method used to value or constrain end-of-period gas volumes.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,24,Decomposition Method,Method used to pass the optimal storage trajectory from one simulation phase to the next.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,30,Enforce Bounds,If the storage bounds are enforced.,mti-118-mt-da-rt-reserves-all-generators,False
2,Generator,1,Generator objects,200,Is Strategic,If the generator's capacity acts strategically,mti-118-mt-da-rt-reserves-all-generators,False
