class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,45,Simultaneous Pump and Generation,Pumped storage can pump and generate simultaneously,CAISOSA25 20250505,False
2,Generator,1,Generator objects,46,Model Capital Cost Recovery,Indicates if capital cost recovery feature is modeled for expansion planning,CAISOSA25 20250505,False
2,Generator,1,Generator objects,49,Scale Participation Factors,Flag if participation factors should be scaled for a generator,CAISOSA25 20250505,False
2,Generator,1,Generator objects,266,Simultaneous Increment and Decrement,Degenerate increment and decrement offers and bids can be cleared simultaneously,CAISOSA25 20250505,False
2,Generator,1,Generator objects,273,Formulate Risk,If constraint should be formulated to bound net profit risk,CAISOSA25 20250505,False
2,Generator,1,Generator objects,307,Project Start Date,"Start date of generation project, for expansion planning.",CAISOSA25 20250505,False
2,Generator,1,Generator objects,308,Commission Date,Date the generator was commissioned for use with [Technical Life],CAISOSA25 20250505,False
2,Generator,1,Generator objects,2,Random Number Seed,Random number seed assigned to the generator for the generation of outages,CAISOSA25 20250505,True
2,Generator,1,Generator objects,4,Max Heat Rate Tranches,Maximum number of tranches in the fuel function piecewise linear approximation.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,19,Unit Commitment Period,Period between unit commitment (on/off) decisions.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,21,Rounding Up Threshold,Threshold at which non-integers are rounded up.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,25,Integerization Horizon,Number of years over which the expansion decisions are integerized,CAISOSA25 20250505,False
2,Generator,1,Generator objects,31,Internal Volume Scalar,Storage volume scaling factor used internal to the mathematical program.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,35,Controllable Inflow,Proportion of Natural Inflow that is controllable,CAISOSA25 20250505,False
2,Generator,1,Generator objects,41,Decomposition Bound Penalty,Penalty applied to violation of storage bounds when the decomposition implies possible violations.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,50,Units,Number of installed units,CAISOSA25 20250505,True
2,Generator,1,Generator objects,52,Min Stable Level,Minimum stable generation level,CAISOSA25 20250505,True
2,Generator,1,Generator objects,54,Min Stable Factor,Minimum stable generation level as a proportion of [Max Capacity],CAISOSA25 20250505,False
2,Generator,1,Generator objects,56,Load Point,Load point for use with multi-point heat rate.,CAISOSA25 20250505,False
2,Generator,1,Generator objects,69,Generation Credit Start Year,Year to start applying Generation Credits,CAISOSA25 20250505,False
2,Generator,1,Generator objects,70,Start Cost,Cost of starting a unit,CAISOSA25 20250505,True
2,Generator,1,Generator objects,71,Start Cost Time,Incremental cooling time over which the corresponding Start Cost applies,CAISOSA25 20250505,True
2,Generator,1,Generator objects,72,Run Up Rate,Ramp rate that applies while running the unit up from zero to [Min Stable Level].,CAISOSA25 20250505,True
2,Generator,1,Generator objects,76,Shutdown Cost,Cost of shutting down a unit,CAISOSA25 20250505,False
2,Generator,1,Generator objects,77,Run Down Rate,Ramp rate that applies while running the unit down from [Min Stable Level] to zero,CAISOSA25 20250505,False
2,Generator,1,Generator objects,80,Rolling Planning Bonus,Bonus for remaining online at the end of the look-ahead,CAISOSA25 20250505,False
2,Generator,1,Generator objects,82,Rating Factor,Maximum dispatchable capacity of each unit expressed as a percentage of [Max Capacity],CAISOSA25 20250505,True
2,Generator,1,Generator objects,84,Min Up Time,Minimum number of hours a unit must be run after being started,CAISOSA25 20250505,True
2,Generator,1,Generator objects,85,Min Up Time Penalty,Penalty for violation of min up time,CAISOSA25 20250505,True
2,Generator,1,Generator objects,86,Min Down Time,Minimum number of hours a unit must be off after being shut down,CAISOSA25 20250505,True
2,Generator,1,Generator objects,87,Min Down Time Penalty,Penalty for violation of min down time,CAISOSA25 20250505,False
2,Generator,1,Generator objects,88,Max Up Time,Maximum number of hours a unit can be run after being started,CAISOSA25 20250505,False
2,Generator,1,Generator objects,89,Max Up Time Penalty,Penalty for violation of max up time,CAISOSA25 20250505,False
2,Generator,1,Generator objects,90,Max Down Time,Maximum number of hours a unit can be off after being shut down,CAISOSA25 20250505,False
2,Generator,1,Generator objects,92,Generating Units,Number of generating units,CAISOSA25 20250505,False
2,Generator,1,Generator objects,93,Must-Run Units,Number of must-run units,CAISOSA25 20250505,False
2,Generator,1,Generator objects,96,Min Load,Minimum level of station load (must run/run of river),CAISOSA25 20250505,False
2,Generator,1,Generator objects,98,Max Load,Maximum level of unit load (unit may provide spinning reserve with remainder of spare capacity),CAISOSA25 20250505,False
