class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,1,Must Report,If the generator must be reported even if it is out-of-service,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,4,Formulate Non-convex,Controls when integers are used to enforce clearing of marginal efficiency tranches in order.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,5,Head Effects Method,Method used to account for the effects of storage head on efficiency,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,6,Min Down Time Mode,Controls how [Min Down Time] is applied after outages.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,7,Forced Outage Rate Denominator,Denominator for Forced Outage Rate calculations,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,8,Repair Time Distribution,"Distribution used to generate repair times (Auto,Constant,Uniform,Triangular,Exponential,Weibull,Lognormal,SEV,LEV)",CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,9,Fixed Load Method,Method of interpreting zero values of the [Fixed Load] property.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,11,Price Setting,Flag if the generator can set price,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,12,Offer Quantity Format,Format for [Offer Quantity] and [Offer Price],CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,13,Offers Must Clear in Order,Flag to control ordering of clearing of user-defined generator offers.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,14,Unit Commitment Optimality,Unit commitment integerization scheme for the generator.,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,16,Include in Rounded Relaxation Merit Order,Flag if Generator is included in the Region merit order for Rounded Relaxation unit commitment.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,17,Start Profile Range,Maximum range for [Start Profile],CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,18,Expansion Optimality,Expansion planning integerization scheme.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,20,Production Decomposition Method,Method used to decompose generator production from MT to ST Schedule,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,21,Include in Uplift,If this generator's costs are included in the uplift calculations.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,22,Include in Capacity Payments,If this generator receives capacity payments.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,25,End Effects Method,Method used to value or constrain end-of-period heat volumes.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,27,Decomposition Method,Method used to pass the optimal storage trajectory from one simulation phase to the next.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,33,Enforce Bounds,If the storage bounds are enforced.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,34,Is Strategic,If the generator's capacity acts strategically,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,35,Transition Type,If the generator can transition between a single generator or to a group of generators.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,246,Project Start Date,"Start date of generation project, for expansion planning.",CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,247,Commission Date,Date the generator was commissioned for use with [Technical Life],CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,2,Random Number Seed,Random number seed assigned to the generator for the generation of outages,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,3,Max Heat Rate Tranches,Maximum number of tranches in the fuel function piecewise linear approximation.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,15,Rounding Up Threshold,Threshold at which non-integers are rounded up.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,24,Internal Volume Scalar,Storage volume scaling factor used internal to the mathematical program.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,32,Decomposition Bound Penalty,Penalty applied to violation of storage bounds when the decomposition implies possible violations.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,36,Units,Number of installed units,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,38,Min Stable Level,Minimum stable generation level,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,39,Min Stable Factor,Minimum stable generation level as a proportion of [Max Capacity],CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,41,Load Point,Load point for use with multi-point heat rate.,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,50,Start Cost,Cost of starting a unit,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,51,Start Cost Time,Incremental cooling time over which the corresponding Start Cost applies,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,52,Run Up Rate,Ramp rate that applies while running the unit up from zero to [Min Stable Level].,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,55,Shutdown Cost,Cost of shutting down a unit,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,56,Run Down Rate,Ramp rate that applies while running the unit down from [Min Stable Level] to zero.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,60,Rating Factor,Maximum dispatchable capacity of each unit expressed as a percentage of [Max Capacity],CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,61,Min Up Time,Minimum number of hours a unit must be run after being started,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,62,Min Down Time,Minimum number of hours a unit must be off after being shut down,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,63,Max Up Time,Maximum number of hours a unit can be run after being started,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,64,Max Down Time,Maximum number of hours a unit can be off after being shut down,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,65,Must-Run Units,Number of must-run units,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,68,Min Load,Minimum level of station load (must run/run of river),CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,70,Max Load,Maximum level of unit load (unit may provide spinning reserve with remainder of spare capacity),CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,71,Commit,Number of units that should be committed,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,72,Fuel Mix Penalty,Penalty applied to violations of fuel mixing constraints,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,73,Ramp Up Point,Load point for use with multi-band Max Ramp Up constraints,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,74,Max Ramp Up,Maximum ramp up rate,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,77,Ramp Down Point,Load point for use with multi-band Max Ramp Down constraints,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,78,Max Ramp Down,Maximum ramp down rate,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,81,Rough Running Point,Start point of rough running range,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,82,Rough Running Range,Length of rough running range (must be paired with Rough Running Point),CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,83,Regulation Point,Start point of regulation reserve range,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,84,Regulation Range,Length of regulation reserve range (must be paired with Regulation Point),CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,85,Aux Fixed,Fixed auxiliary usage per installed unit,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,86,Aux Base,Auxiliary use per unit committed,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,87,Aux Incr,Auxiliary use per unit of generation,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,88,Marginal Loss Factor,Transmission marginal loss factor (MLF or TLF),CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,91,Pump Efficiency,Efficiency of pumping,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,92,Pump Load,Load drawn by a unit in pumping mode,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,93,Pump Units,Number of pump units,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,94,Min Pump Load,Minimum unit load while pumping,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,95,Must Pump Units,Number of pump units that must be running in pump mode,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,96,Max Units Pumping,Maximum number of units allowed to be running in pump mode.,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,100,Min Pump Time,Minimum number of hours a unit must be run in pump mode after being started,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,101,Min Pump Down Time,Minimum number of hours a unit must be off after being shut down from pump mode,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,103,Sync Cond Units,Maximum number of synchronous condenser units,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,104,Must-run Sync Cond Units,Number of must-run synchronous condenser units,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,105,Sync Cond Load,Load drawn by a unit in synchronous condenser mode,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,108,Initial Generation,Generation at time zero,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,109,Initial Units Generating,Number of units generating at time zero,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,110,Initial Hours Up,Hours the unit has been up for at time zero,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,111,Initial Hours Down,Hours the unit has been down for at time zero,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,112,Initial Pumping,Generator pump load at time zero,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,113,Initial Units Pumping,Number of units pumping at time zero,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,114,Initial Hours Pumping,Hours the unit has been pumping for at time zero,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,115,Generator to Pump Switch Time,Number of hours required to switch from Generator mode to Pump mode,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,116,Pump to Generator Switch Time,Number of hours required to switch from Pump mode to Generator mode,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,118,Last Start State,Number of hours the unit had been down before the last start,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,133,Opening Heat,Initial heat in the storage,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,140,Max Release,Maximum rate of release from each unit,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,141,Max Energy,Maximum energy,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,142,Max Energy Hour,Maximum energy in hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,143,Max Energy Day,Maximum energy in day,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,144,Max Energy Week,Maximum energy in week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,145,Max Energy Month,Maximum energy in month,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,146,Max Energy Year,Maximum energy in year,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,147,Min Energy,Minimum energy,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,148,Min Energy Hour,Minimum energy in hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,149,Min Energy Day,Minimum energy in day,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,150,Min Energy Week,Minimum energy in week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,151,Min Energy Month,Minimum energy in month,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,152,Min Energy Year,Minimum energy in year,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,153,Max Capacity Factor,Maximum capacity factor in the interval,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,154,Max Capacity Factor Hour,Maximum capacity factor in hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,155,Max Capacity Factor Day,Maximum capacity factor in day,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,156,Max Capacity Factor Week,Maximum capacity factor in week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,157,Max Capacity Factor Month,Maximum capacity factor in month,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,158,Max Capacity Factor Year,Maximum capacity factor in year,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,159,Min Capacity Factor,Minimum capacity factor in the interval,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,160,Min Capacity Factor Hour,Minimum capacity factor in hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,161,Min Capacity Factor Day,Minimum capacity factor in day,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,162,Min Capacity Factor Week,Minimum capacity factor in week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,163,Min Capacity Factor Month,Minimum capacity factor in month,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,164,Min Capacity Factor Year,Minimum capacity factor in year,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,167,Max Starts,Maximum number of starts allowed,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,168,Max Starts Hour,Maximum number of starts allowed in a hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,169,Max Starts Day,Maximum number of starts allowed in a day,CAISOIRP23Stochastic 20240517,True
2,Generator,1,Generator objects,170,Max Starts Week,Maximum number of starts allowed in a week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,171,Max Starts Month,Maximum number of starts allowed in a month,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,172,Max Starts Year,Maximum number of starts allowed in a year,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,174,Energy Scalar,Scalar applied to generator energy limits and energy implied by capacity factor constraints,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,175,Max Heat Withdrawal,Maximum amount of heat that can be withdrawn from the storage,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,176,Max Heat Withdrawal Hour,Maximum amount of heat that can be withdrawn from the storage in a hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,177,Max Heat Withdrawal Day,Maximum amount of heat that can be withdrawn from the storage in a day,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,178,Max Heat Withdrawal Week,Maximum amount of heat that can be withdrawn from the storage in a week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,179,Max Heat Withdrawal Month,Maximum amount of heat that can be withdrawn from the storage in a month,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,180,Max Heat Withdrawal Year,Maximum amount of heat that can be withdrawn from the storage in a year,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,181,Max Heat Injection,Maximum amount of heat that can be injected into the storage,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,182,Max Heat Injection Hour,Maximum amount of heat that can be injected into the storage in a hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,183,Max Heat Injection Day,Maximum amount of heat that can be injected into the storage in a day,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,184,Max Heat Injection Week,Maximum amount of heat that can be injected into the storage in a week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,185,Max Heat Injection Month,Maximum amount of heat that can be injected into the storage in a month,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,186,Max Heat Injection Year,Maximum amount of heat that can be injected into the storage in a year,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,187,Min Heat Withdrawal,Amount of heat that must be withdrawn from storage,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,188,Min Heat Withdrawal Hour,Amount of heat that must be withdrawn from storage each hour,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,189,Min Heat Withdrawal Day,Amount of heat that must be withdrawn from storage each day,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,190,Min Heat Withdrawal Week,Amount of heat that must be withdrawn from storage each week,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,191,Min Heat Withdrawal Month,Amount of heat that must be withdrawn from storage each month,CAISOIRP23Stochastic 20240517,False
2,Generator,1,Generator objects,192,Min Heat Withdrawal Year,Amount of heat that must be withdrawn from storage each year,CAISOIRP23Stochastic 20240517,False
